Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
4421,0.85,1000000,41,0.026197,0.031564,0.005738,0.007235,0.004655,0.00636
4421,0.85,2000000,41,0.025498,0.031055,0.004378,0.005528,0.004288,0.006041
4421,0.85,4000000,41,0.026139,0.032164,0.005039,0.006454,0.004872,0.006485
4421,0.85,8000000,41,0.027408,0.032889,0.005138,0.006765,0.004112,0.005556
4421,0.9,75000,41,0.018674,0.024263,0.011147,0.012155,0.004193,0.006062
4421,0.9,125000,41,0.020612,0.02554,0.010472,0.011495,0.005832,0.008326
4421,0.9,250000,41,0.018637,0.02402,0.009862,0.011197,0.006664,0.009021
4421,0.9,500000,41,0.019586,0.024794,0.010006,0.011391,0.006517,0.008874
4421,0.9,1000000,41,0.023089,0.028893,0.01007,0.012834,0.007201,0.01013
4421,0.9,2000000,41,0.021652,0.026886,0.008957,0.01032,0.005997,0.008129
4421,0.9,4000000,41,0.022169,0.026957,0.009869,0.011269,0.005643,0.00778
4421,0.9,8000000,41,0.0242,0.029008,0.009379,0.011082,0.005383,0.006979
