Airfoil,Mach,Re,N_points,Cl_MAE,Cl_RMSE,Cd_MAE,Cd_RMSE,Cm_MAE,Cm_RMSE
4415,0.35,8000000,41,0.013684,0.018465,0.002364,0.003193,0.001923,0.003187
4415,0.45,75000,41,0.017074,0.022946,0.002814,0.003941,0.002285,0.003144
4415,0.45,125000,41,0.019721,0.024451,0.003353,0.004705,0.001649,0.002083
4415,0.45,250000,41,0.014944,0.019146,0.002403,0.002985,0.001674,0.002178
4415,0.45,500000,41,0.011757,0.014321,0.001891,0.00238,0.002063,0.002611
4415,0.45,1000000,41,0.012361,0.015431,0.001922,0.002602,0.001956,0.002611
4415,0.45,2000000,41,0.011353,0.014223,0.002271,0.003136,0.001664,0.002281
4415,0.45,4000000,41,0.011272,0.014769,0.001988,0.00274,0.001474,0.002179
4415,0.45,8000000,41,0.008326,0.010136,0.001867,0.002415,0.001897,0.002635
4415,0.55,75000,41,0.011696,0.015678,0.00293,0.003921,0.002839,0.003636
4415,0.55,125000,41,0.019601,0.026426,0.00199,0.002383,0.001687,0.002279
4415,0.55,250000,41,0.008839,0.011397,0.002399,0.003214,0.001755,0.002149
4415,0.55,500000,41,0.00818,0.010919,0.002201,0.00297,0.001918,0.0024
4415,0.55,1000000,41,0.00902,0.011201,0.001887,0.002579,0.001713,0.002453
4415,0.55,2000000,41,0.007216,0.008986,0.002399,0.003323,0.001621,0.002334
4415,0.55,4000000,41,0.009667,0.011628,0.002312,0.002907,0.001459,0.002208
4415,0.55,8000000,41,0.011334,0.013551,0.002395,0.003071,0.001651,0.002561
4415,0.65,75000,41,0.008252,0.010905,0.002566,0.003631,0.002766,0.003766
4415,0.65,125000,41,0.012472,0.016531,0.002114,0.003109,0.002479,0.003506
4415,0.65,250000,41,0.010896,0.014539,0.002827,0.003998,0.002296,0.003342
4415,0.65,500000,41,0.008323,0.011168,0.001865,0.002794,0.00231,0.003131
4415,0.65,1000000,41,0.008814,0.011631,0.001789,0.002485,0.002245,0.002817
4415,0.65,2000000,41,0.00794,0.010476,0.002341,0.003312,0.002156,0.002596
4415,0.65,4000000,41,0.007754,0.009473,0.002166,0.002873,0.002008,0.002549
4415,0.65,8000000,41,0.008914,0.011282,0.002238,0.002832,0.001624,0.002033
4415,0.7,75000,41,0.009506,0.011725,0.002901,0.003714,0.002279,0.00339
4415,0.7,125000,41,0.012371,0.015064,0.002619,0.003652,0.002475,0.003487
4415,0.7,250000,41,0.00897,0.010798,0.002971,0.004062,0.002313,0.003142
4415,0.7,500000,41,0.008648,0.010916,0.002053,0.002935,0.002206,0.00277
4415,0.7,1000000,41,0.008612,0.010644,0.001895,0.002736,0.002518,0.002926
4415,0.7,2000000,41,0.008855,0.010917,0.002369,0.003384,0.002766,0.003177
4415,0.7,4000000,41,0.009914,0.012057,0.002483,0.003335,0.002963,0.003403
4415,0.7,8000000,41,0.011174,0.01317,0.002541,0.003814,0.002737,0.003173
4415,0.75,75000,41,0.017107,0.023187,0.003876,0.004703,0.00417,0.004868
4415,0.75,125000,41,0.02552,0.031562,0.004224,0.005227,0.006369,0.007635
4415,0.75,250000,41,0.021507,0.028517,0.004623,0.005624,0.00554,0.006557
4415,0.75,500000,41,0.015506,0.019682,0.00371,0.004579,0.003994,0.004428
4415,0.75,1000000,41,0.013859,0.018284,0.003404,0.004336,0.003984,0.004453
4415,0.75,2000000,41,0.013829,0.018034,0.003341,0.004288,0.003649,0.004273
4415,0.75,4000000,41,0.013555,0.017417,0.003385,0.004308,0.003555,0.004273
4415,0.75,8000000,41,0.015693,0.018923,0.004229,0.005414,0.004273,0.004773
4415,0.8,75000,41,0.017011,0.025092,0.004247,0.005174,0.005583,0.006877
4415,0.8,125000,41,0.024644,0.030075,0.004293,0.00531,0.005801,0.008192
4415,0.8,250000,41,0.01987,0.024869,0.004579,0.005668,0.005897,0.007838
4415,0.8,500000,41,0.016098,0.019743,0.004011,0.004922,0.005376,0.006291
4415,0.8,1000000,41,0.013714,0.01927,0.003768,0.004693,0.004952,0.005902
4415,0.8,2000000,41,0.013842,0.018821,0.00376,0.004678,0.005274,0.006292
4415,0.8,4000000,41,0.013075,0.017086,0.002958,0.003622,0.004882,0.005874
4415,0.8,8000000,41,0.017175,0.020569,0.003285,0.004606,0.005731,0.00713
4415,0.85,75000,41,0.019434,0.027913,0.003779,0.004283,0.005093,0.008355
4415,0.85,125000,41,0.021595,0.029149,0.004416,0.005084,0.00669,0.00885
4415,0.85,250000,41,0.018763,0.026709,0.005241,0.006064,0.006746,0.009338
4415,0.85,500000,41,0.017294,0.025663,0.005224,0.006167,0.005587,0.007927
4415,0.85,1000000,41,0.014432,0.023349,0.004599,0.005631,0.005004,0.007157
4415,0.85,2000000,41,0.014657,0.023847,0.004959,0.005908,0.005101,0.007236
4415,0.85,4000000,41,0.013202,0.022738,0.004024,0.004956,0.004376,0.006871
4415,0.85,8000000,41,0.016498,0.023925,0.003448,0.004017,0.004228,0.007316
4415,0.9,75000,41,0.017794,0.021968,0.009051,0.010032,0.003248,0.004431
4415,0.9,125000,41,0.022413,0.026649,0.00872,0.009986,0.004324,0.005993
4415,0.9,250000,41,0.024237,0.027759,0.009012,0.010479,0.004042,0.005621
4415,0.9,500000,41,0.024363,0.027259,0.008704,0.010582,0.004966,0.006443
4415,0.9,1000000,41,0.024759,0.034449,0.009518,0.011964,0.005334,0.00824
4415,0.9,2000000,41,0.019421,0.023218,0.008594,0.010116,0.004699,0.006424
4415,0.9,4000000,41,0.017325,0.020062,0.008072,0.00931,0.00438,0.005861
4415,0.9,8000000,41,0.019603,0.023139,0.007779,0.009549,0.005077,0.006291
4421,0.25,75000,41,0.024646,0.046203,0.003416,0.008181,0.002393,0.005165
4421,0.25,125000,41,0.025179,0.030386,0.002686,0.003505,0.003015,0.003386
4421,0.25,250000,41,0.013768,0.016189,0.001291,0.001868,0.001998,0.002345
4421,0.25,500000,41,0.011964,0.015815,0.002068,0.003188,0.002483,0.003635
4421,0.25,1000000,41,0.012002,0.016536,0.002032,0.003218,0.002678,0.003796
4421,0.25,2000000,41,0.01561,0.01848,0.002274,0.002839,0.003037,0.003584
4421,0.25,4000000,41,0.013793,0.016966,0.002269,0.002804,0.00297,0.003462
4421,0.25,8000000,41,0.011764,0.01429,0.00255,0.003237,0.002705,0.003078
4421,0.35,75000,41,0.015495,0.033788,0.002567,0.005588,0.001783,0.003372
4421,0.35,125000,41,0.021032,0.027262,0.002643,0.003319,0.002584,0.002982
4421,0.35,250000,41,0.01461,0.019213,0.001364,0.002006,0.001553,0.001907
4421,0.35,500000,41,0.010464,0.012551,0.001509,0.002119,0.001887,0.002496
4421,0.35,1000000,41,0.009631,0.012113,0.001652,0.002383,0.002021,0.002882
4421,0.35,2000000,41,0.011382,0.015793,0.001687,0.002476,0.002304,0.002919
4421,0.35,4000000,41,0.013824,0.018782,0.001894,0.0027,0.002274,0.002722
4421,0.35,8000000,41,0.013905,0.019787,0.002385,0.003334,0.002191,0.002603
4421,0.45,75000,41,0.01508,0.023017,0.002278,0.003065,0.001422,0.002336
4421,0.45,125000,41,0.015914,0.021967,0.002429,0.003277,0.002742,0.003219
4421,0.45,250000,41,0.016528,0.021844,0.001645,0.002124,0.002211,0.002652
4421,0.45,500000,41,0.011208,0.01524,0.001372,0.001584,0.002116,0.002611
4421,0.45,1000000,41,0.009477,0.012289,0.001761,0.002152,0.002038,0.002913
4421,0.45,2000000,41,0.01052,0.012841,0.002102,0.002674,0.002123,0.003017
4421,0.45,4000000,41,0.010289,0.012802,0.001767,0.002152,0.001882,0.002296
4421,0.45,8000000,41,0.013354,0.017412,0.002031,0.002448,0.002251,0.002463
4421,0.55,75000,41,0.018239,0.023582,0.003159,0.003554,0.00238,0.002681
4421,0.55,125000,41,0.020654,0.0245,0.003152,0.003671,0.002323,0.002875
4421,0.55,250000,41,0.012194,0.015519,0.001413,0.002101,0.002114,0.002655
4421,0.55,500000,41,0.01195,0.014522,0.001484,0.001943,0.001867,0.002305
4421,0.55,1000000,41,0.011927,0.013892,0.001564,0.001948,0.002,0.002441
4421,0.55,2000000,41,0.010426,0.012119,0.002229,0.002884,0.001975,0.002451
4421,0.55,4000000,41,0.011787,0.013728,0.001883,0.002424,0.001483,0.001925
4421,0.55,8000000,41,0.013323,0.018481,0.002173,0.002717,0.001573,0.002124
4421,0.65,75000,41,0.012035,0.016003,0.002598,0.003286,0.00171,0.002516
4421,0.65,125000,41,0.011772,0.013655,0.002636,0.003188,0.001772,0.002378
4421,0.65,250000,41,0.013394,0.02855,0.005717,0.010844,0.002829,0.006241
4421,0.65,500000,41,0.011546,0.015736,0.003113,0.004735,0.002568,0.003291
4421,0.65,1000000,41,0.013575,0.015868,0.001858,0.002425,0.002164,0.002417
4421,0.65,2000000,41,0.011696,0.013755,0.002472,0.003278,0.001855,0.002209
4421,0.65,4000000,41,0.012254,0.014424,0.002575,0.003473,0.001396,0.001837
4421,0.65,8000000,41,0.009555,0.011248,0.002013,0.002596,0.000946,0.001307
4421,0.7,75000,41,0.016651,0.023411,0.004188,0.006466,0.00313,0.004588
4421,0.7,125000,41,0.021103,0.027046,0.004022,0.006028,0.00352,0.004808
4421,0.7,250000,41,0.018216,0.026185,0.004385,0.006108,0.00369,0.004983
4421,0.7,500000,41,0.015546,0.0237,0.00381,0.005473,0.003625,0.004437
4421,0.7,1000000,41,0.012826,0.018885,0.003894,0.005324,0.003217,0.003862
4421,0.7,2000000,41,0.011162,0.016698,0.004007,0.005002,0.00281,0.003589
4421,0.7,4000000,41,0.010142,0.014536,0.003249,0.004008,0.002803,0.003424
4421,0.7,8000000,41,0.012942,0.016256,0.002473,0.003038,0.002139,0.002483
4421,0.75,75000,41,0.016594,0.019126,0.00411,0.004651,0.004396,0.005049
4421,0.75,125000,41,0.013939,0.017693,0.003838,0.004387,0.004137,0.004785
4421,0.75,250000,41,0.013217,0.016917,0.004729,0.005187,0.003383,0.004071
4421,0.75,500000,41,0.013112,0.016824,0.003326,0.003791,0.00286,0.003364
4421,0.75,1000000,41,0.011248,0.013855,0.003268,0.0037,0.002327,0.002777
4421,0.75,2000000,41,0.010258,0.012734,0.003575,0.004063,0.00222,0.002658
4421,0.75,4000000,41,0.008886,0.011793,0.002794,0.003359,0.002298,0.002734
4421,0.75,8000000,41,0.00916,0.010968,0.002989,0.003664,0.00196,0.00249
4421,0.8,75000,41,0.015433,0.01786,0.00354,0.004318,0.003547,0.004387
4421,0.8,125000,41,0.010543,0.012205,0.003758,0.004625,0.003753,0.004527
4421,0.8,250000,41,0.010839,0.013053,0.004162,0.004953,0.003336,0.004333
4421,0.8,500000,41,0.010516,0.013124,0.003241,0.004103,0.00262,0.003281
4421,0.8,1000000,41,0.008793,0.01078,0.003027,0.003772,0.002461,0.002849
4421,0.8,2000000,41,0.008205,0.010303,0.00322,0.003648,0.002046,0.002526
4421,0.8,4000000,41,0.009974,0.012246,0.002032,0.002336,0.001801,0.002293
4421,0.8,8000000,41,0.009342,0.012388,0.002146,0.002687,0.001466,0.001955
4421,0.85,75000,41,0.01091,0.01404,0.003376,0.003884,0.004141,0.006217
4421,0.85,125000,41,0.010546,0.014885,0.002881,0.003326,0.003819,0.006056
4421,0.85,250000,41,0.011793,0.01507,0.002891,0.003485,0.003357,0.004869
4421,0.85,500000,41,0.011044,0.013981,0.002901,0.003338,0.00274,0.004325
4421,0.85,1000000,41,0.009314,0.010944,0.002564,0.003064,0.002228,0.003678
4421,0.85,2000000,41,0.00709,0.008606,0.003488,0.004397,0.002805,0.004469
4421,0.85,4000000,41,0.008144,0.009698,0.003179,0.003721,0.002817,0.004615
4421,0.85,8000000,41,0.01199,0.013727,0.003548,0.003952,0.002511,0.003996
4421,0.9,75000,41,0.008033,0.009725,0.002911,0.003711,0.002617,0.00317
4421,0.9,125000,41,0.011348,0.012679,0.003108,0.004332,0.002587,0.003752
4421,0.9,250000,41,0.013368,0.015381,0.003557,0.00524,0.002765,0.003643
4421,0.9,500000,41,0.014316,0.017075,0.004055,0.005883,0.003329,0.0043
4421,0.9,1000000,41,0.0134,0.017665,0.003947,0.006753,0.003764,0.007336
4421,0.9,2000000,41,0.010361,0.012837,0.003621,0.005275,0.002454,0.00327
4421,0.9,4000000,41,0.009099,0.011667,0.003486,0.004579,0.002442,0.003367
4421,0.9,8000000,41,0.00957,0.01202,0.00443,0.005659,0.003011,0.003773
