Airfoil,Mach,Re,N_points,Cd_MAE,Cd_MSE,Cd_RMSE,Cd_R2
4415,0.85,500000,41,0.004083,2.285e-05,0.004781,0.99861
4415,0.85,1000000,41,0.003557,1.823e-05,0.004269,0.998889
4415,0.85,2000000,41,0.003057,1.34e-05,0.00366,0.999175
4415,0.85,4000000,41,0.003367,1.634e-05,0.004042,0.998992
4415,0.85,8000000,41,0.002841,1.265e-05,0.003557,0.999221
4415,0.9,75000,41,0.002737,1.062e-05,0.003259,0.999583
4415,0.9,125000,41,0.002841,1.183e-05,0.00344,0.999544
4415,0.9,250000,41,0.002774,1.196e-05,0.003458,0.999547
4415,0.9,500000,41,0.00281,1.073e-05,0.003276,0.999598
4415,0.9,1000000,41,0.004246,7.207e-05,0.00849,0.997264
4415,0.9,2000000,41,0.002901,1.29e-05,0.003592,0.99951
4415,0.9,4000000,41,0.002955,1.589e-05,0.003987,0.999393
4415,0.9,8000000,41,0.003191,1.517e-05,0.003894,0.999421
4421,0.25,75000,41,0.004012,5.028e-05,0.007091,0.990854
4421,0.25,125000,41,0.002506,1.847e-05,0.004297,0.996426
4421,0.25,250000,41,0.002095,7.46e-06,0.002731,0.99848
4421,0.25,500000,41,0.002187,7.7e-06,0.002775,0.998478
4421,0.25,1000000,41,0.001912,6.84e-06,0.002615,0.998686
4421,0.25,2000000,41,0.001936,6.96e-06,0.002637,0.998682
4421,0.25,4000000,41,0.00207,8.06e-06,0.00284,0.998474
4421,0.25,8000000,41,0.001899,5.56e-06,0.002358,0.998948
4421,0.35,75000,41,0.003239,2.529e-05,0.005029,0.995688
4421,0.35,125000,41,0.004116,3.822e-05,0.006182,0.993079
4421,0.35,250000,41,0.002638,9.97e-06,0.003158,0.998109
4421,0.35,500000,41,0.002878,1.223e-05,0.003496,0.997727
4421,0.35,1000000,41,0.002662,1.107e-05,0.003328,0.997991
4421,0.35,2000000,41,0.002365,8.56e-06,0.002926,0.998467
4421,0.35,4000000,41,0.00226,7.71e-06,0.002776,0.998621
4421,0.35,8000000,41,0.001996,5.57e-06,0.00236,0.999003
4421,0.45,75000,41,0.002614,1.204e-05,0.00347,0.998148
4421,0.45,125000,41,0.005436,4.607e-05,0.006788,0.992461
4421,0.45,250000,41,0.003086,1.475e-05,0.00384,0.997483
4421,0.45,500000,41,0.003319,1.506e-05,0.00388,0.997453
4421,0.45,1000000,41,0.003464,1.642e-05,0.004052,0.997268
4421,0.45,2000000,41,0.003157,1.361e-05,0.003689,0.997759
4421,0.45,4000000,41,0.002785,9.95e-06,0.003154,0.998362
4421,0.45,8000000,41,0.003005,1.229e-05,0.003506,0.997975
4421,0.55,75000,41,0.003069,1.305e-05,0.003612,0.998237
4421,0.55,125000,41,0.005052,3.002e-05,0.005479,0.995789
4421,0.55,250000,41,0.002722,1.025e-05,0.003201,0.998491
4421,0.55,500000,41,0.002985,1.313e-05,0.003624,0.99803
4421,0.55,1000000,41,0.004041,2.006e-05,0.004479,0.997015
4421,0.55,2000000,41,0.003894,1.988e-05,0.004459,0.997062
4421,0.55,4000000,41,0.003845,1.932e-05,0.004395,0.997142
4421,0.55,8000000,41,0.003771,1.797e-05,0.004239,0.997343
4421,0.65,75000,41,0.003073,1.201e-05,0.003466,0.998529
4421,0.65,125000,41,0.004502,2.778e-05,0.005271,0.996634
4421,0.65,250000,41,0.005042,9.097e-05,0.009538,0.989688
4421,0.65,500000,41,0.004352,2.66e-05,0.005158,0.996735
4421,0.65,1000000,41,0.003845,1.898e-05,0.004357,0.997564
4421,0.65,2000000,41,0.003435,1.537e-05,0.00392,0.998017
4421,0.65,4000000,41,0.003697,1.662e-05,0.004077,0.997847
4421,0.65,8000000,41,0.004173,2.253e-05,0.004747,0.997086
4421,0.7,75000,41,0.005498,3.908e-05,0.006252,0.994836
4421,0.7,125000,41,0.007625,6.767e-05,0.008226,0.991225
4421,0.7,250000,41,0.006153,4.741e-05,0.006886,0.993879
4421,0.7,500000,41,0.005633,4.184e-05,0.006468,0.994428
4421,0.7,1000000,41,0.004985,3.037e-05,0.005511,0.995865
4421,0.7,2000000,41,0.005066,2.998e-05,0.005475,0.995903
4421,0.7,4000000,41,0.004361,2.282e-05,0.004777,0.996878
4421,0.7,8000000,41,0.005424,3.421e-05,0.005849,0.995328
4421,0.75,75000,41,0.006115,4.735e-05,0.006881,0.993441
4421,0.75,125000,41,0.007259,6.115e-05,0.00782,0.991577
4421,0.75,250000,41,0.00621,5.135e-05,0.007166,0.992878
4421,0.75,500000,41,0.006037,4.977e-05,0.007055,0.993025
4421,0.75,1000000,41,0.005332,3.755e-05,0.006128,0.994666
4421,0.75,2000000,41,0.005055,3.341e-05,0.00578,0.995242
4421,0.75,4000000,41,0.005013,3.187e-05,0.005645,0.995456
4421,0.75,8000000,41,0.004991,3.016e-05,0.005492,0.995702
4421,0.8,75000,41,0.008659,8.115e-05,0.009008,0.990038
4421,0.8,125000,41,0.009043,8.656e-05,0.009304,0.989419
4421,0.8,250000,41,0.008679,8.125e-05,0.009014,0.990078
4421,0.8,500000,41,0.008672,8.064e-05,0.00898,0.990082
4421,0.8,1000000,41,0.008045,7.089e-05,0.00842,0.991199
4421,0.8,2000000,41,0.008017,6.883e-05,0.008296,0.991427
4421,0.8,4000000,41,0.008045,7.026e-05,0.008382,0.991231
4421,0.8,8000000,41,0.007381,5.941e-05,0.007708,0.992585
4421,0.85,75000,41,0.009389,9.14e-05,0.00956,0.991437
4421,0.85,125000,41,0.008862,8.303e-05,0.009112,0.992251
4421,0.85,250000,41,0.008231,7.604e-05,0.00872,0.992959
4421,0.85,500000,41,0.008978,8.801e-05,0.009381,0.991927
4421,0.85,1000000,41,0.008746,8.191e-05,0.00905,0.992492
4421,0.85,2000000,41,0.008221,7.34e-05,0.008567,0.993291
4421,0.85,4000000,41,0.008784,8.551e-05,0.009247,0.992149
4421,0.85,8000000,41,0.007743,7.084e-05,0.008417,0.993499
4421,0.9,75000,41,0.007918,7.396e-05,0.0086,0.995858
4421,0.9,125000,41,0.007155,5.972e-05,0.007728,0.996752
4421,0.9,250000,41,0.006867,5.295e-05,0.007277,0.997202
4421,0.9,500000,41,0.00684,5.319e-05,0.007293,0.997224
4421,0.9,1000000,41,0.007573,0.00010376,0.010186,0.994554
4421,0.9,2000000,41,0.006817,5.245e-05,0.007242,0.997188
4421,0.9,4000000,41,0.00756,6.664e-05,0.008164,0.996399
4421,0.9,8000000,41,0.00643,5.407e-05,0.007353,0.997077
