This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cl, ln(Reynolds#)
6,0,6,75000,0.8,-2,-0.419608,11.2252433925184
6,0,6,75000,0.8,-1,-0.195371,11.2252433925184
6,0,6,75000,0.8,0,0.000535,11.2252433925184
6,0,6,75000,0.8,1,0.196489,11.2252433925184
6,0,6,75000,0.8,2,0.42117,11.2252433925184
6,0,6,75000,0.8,3,0.610524,11.2252433925184
6,0,6,75000,0.8,4,0.685266,11.2252433925184
6,0,6,75000,0.8,5,0.723626,11.2252433925184
6,0,6,75000,0.8,6,0.750422,11.2252433925184
6,0,6,75000,0.8,7,0.772102,11.2252433925184
6,0,6,75000,0.8,8,0.790003,11.2252433925184
6,0,6,75000,0.8,9,0.812777,11.2252433925184
6,0,6,75000,0.8,10,0.843699,11.2252433925184
6,0,6,75000,0.8,11,0.878721,11.2252433925184
6,0,6,75000,0.8,12,0.914712,11.2252433925184
6,0,6,75000,0.8,13,0.950999,11.2252433925184
6,0,6,75000,0.8,14,0.98622,11.2252433925184
6,0,6,75000,0.8,15,1.019612,11.2252433925184
6,0,6,75000,0.8,16,1.051107,11.2252433925184
6,0,6,75000,0.8,17,1.080501,11.2252433925184
6,0,6,75000,0.8,18,1.107649,11.2252433925184
6,0,6,75000,0.8,19,1.13273,11.2252433925184
6,0,6,75000,0.8,20,1.155815,11.2252433925184
6,0,6,75000,0.85,-20,-1.40146,11.2252433925184
6,0,6,75000,0.85,-19,-1.433476,11.2252433925184
6,0,6,75000,0.85,-18,-1.890727,11.2252433925184
6,0,6,75000,0.85,-17,-1.847577,11.2252433925184
6,0,6,75000,0.85,-16,-1.80092,11.2252433925184
6,0,6,75000,0.85,-15,-1.750607,11.2252433925184
6,0,6,75000,0.85,-14,-1.696528,11.2252433925184
6,0,6,75000,0.85,-13,-1.638034,11.2252433925184
6,0,6,75000,0.85,-12,-1.557895,11.2252433925184
6,0,6,75000,0.85,-11,-1.400208,11.2252433925184
6,0,6,75000,0.85,-10,-1.276775,11.2252433925184
6,0,6,75000,0.85,-9,-1.164601,11.2252433925184
6,0,6,75000,0.85,-8,-1.054842,11.2252433925184
6,0,6,75000,0.85,-7,-0.946238,11.2252433925184
6,0,6,75000,0.85,-6,-0.841875,11.2252433925184
6,0,6,75000,0.85,-5,-0.746183,11.2252433925184
6,0,6,75000,0.85,-4,-0.658127,11.2252433925184
6,0,6,75000,0.85,-3,-0.573984,11.2252433925184
6,0,6,75000,0.85,-2,-0.479888,11.2252433925184
6,0,6,75000,0.85,-1,-0.298863,11.2252433925184
6,0,6,75000,0.85,0,0.000684,11.2252433925184
6,0,6,75000,0.85,1,0.300787,11.2252433925184
6,0,6,75000,0.85,2,0.481069,11.2252433925184
6,0,6,75000,0.85,3,0.574764,11.2252433925184
6,0,6,75000,0.85,4,0.65847,11.2252433925184
6,0,6,75000,0.85,5,0.74579,11.2252433925184
6,0,6,75000,0.85,6,0.840214,11.2252433925184
6,0,6,75000,0.85,7,0.942432,11.2252433925184
6,0,6,75000,0.85,8,1.048343,11.2252433925184
6,0,6,75000,0.85,9,1.154071,11.2252433925184
6,0,6,75000,0.85,10,1.2596,11.2252433925184
6,0,6,75000,0.85,11,1.37087,11.2252433925184
6,0,6,75000,0.85,12,1.541448,11.2252433925184
6,0,6,75000,0.85,13,1.637184,11.2252433925184
6,0,6,75000,0.85,14,1.695955,11.2252433925184
6,0,6,75000,0.85,15,1.750029,11.2252433925184
6,0,6,75000,0.85,16,1.800327,11.2252433925184
6,0,6,75000,0.85,17,1.846994,11.2252433925184
6,0,6,75000,0.85,18,1.89012,11.2252433925184
6,0,6,75000,0.85,19,1.359663,11.2252433925184
6,0,6,75000,0.85,20,1.389703,11.2252433925184
6,0,6,75000,0.9,-20,-1.794556,11.2252433925184
6,0,6,75000,0.9,-19,-1.757943,11.2252433925184
6,0,6,75000,0.9,-18,-1.71751,11.2252433925184
6,0,6,75000,0.9,-17,-1.673109,11.2252433925184
6,0,6,75000,0.9,-16,-1.624584,11.2252433925184
6,0,6,75000,0.9,-15,-1.57177,11.2252433925184
6,0,6,75000,0.9,-14,-1.514493,11.2252433925184
6,0,6,75000,0.9,-13,-1.452563,11.2252433925184
6,0,6,75000,0.9,-12,-1.385761,11.2252433925184
6,0,6,75000,0.9,-11,-1.313859,11.2252433925184
6,0,6,75000,0.9,-10,-1.236576,11.2252433925184
6,0,6,75000,0.9,-9,-1.153726,11.2252433925184
6,0,6,75000,0.9,-8,-1.064997,11.2252433925184
6,0,6,75000,0.9,-7,-0.970087,11.2252433925184
6,0,6,75000,0.9,-6,-0.868781,11.2252433925184
6,0,6,75000,0.9,-5,-0.760642,11.2252433925184
6,0,6,75000,0.9,-4,-0.62444,11.2252433925184
6,0,6,75000,0.9,-3,-0.462156,11.2252433925184
6,0,6,75000,0.9,-2,-0.314732,11.2252433925184
6,0,6,75000,0.9,-1,-0.155238,11.2252433925184
6,0,6,75000,0.9,0,0.000365,11.2252433925184
6,0,6,75000,0.9,1,0.156303,11.2252433925184
6,0,6,75000,0.9,2,0.315648,11.2252433925184
6,0,6,75000,0.9,3,0.462294,11.2252433925184
6,0,6,75000,0.9,4,0.624133,11.2252433925184
6,0,6,75000,0.9,5,0.760306,11.2252433925184
6,0,6,75000,0.9,6,0.868448,11.2252433925184
6,0,6,75000,0.9,7,0.969837,11.2252433925184
6,0,6,75000,0.9,8,1.064814,11.2252433925184
6,0,6,75000,0.9,9,1.153577,11.2252433925184
6,0,6,75000,0.9,10,1.236401,11.2252433925184
6,0,6,75000,0.9,11,1.313629,11.2252433925184
6,0,6,75000,0.9,12,1.385438,11.2252433925184
6,0,6,75000,0.9,13,1.452142,11.2252433925184
6,0,6,75000,0.9,14,1.51398,11.2252433925184
6,0,6,75000,0.9,15,1.571165,11.2252433925184
6,0,6,75000,0.9,16,1.62389,11.2252433925184
6,0,6,75000,0.9,17,1.672336,11.2252433925184
6,0,6,75000,0.9,18,1.716661,11.2252433925184
