This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cd, ln(Reynolds#)
6,0,6,75000,0.8,-17,0.361261,11.2252433925184
6,0,6,75000,0.8,-16,0.331587,11.2252433925184
6,0,6,75000,0.8,-15,0.302453,11.2252433925184
6,0,6,75000,0.8,-14,0.273923,11.2252433925184
6,0,6,75000,0.8,-13,0.246097,11.2252433925184
6,0,6,75000,0.8,-12,0.219114,11.2252433925184
6,0,6,75000,0.8,-11,0.193179,11.2252433925184
6,0,6,75000,0.8,-10,0.16837,11.2252433925184
6,0,6,75000,0.8,-9,0.145065,11.2252433925184
6,0,6,75000,0.8,-8,0.124634,11.2252433925184
6,0,6,75000,0.8,-7,0.106487,11.2252433925184
6,0,6,75000,0.8,-6,0.089228,11.2252433925184
6,0,6,75000,0.8,-5,0.072813,11.2252433925184
6,0,6,75000,0.8,-4,0.056701,11.2252433925184
6,0,6,75000,0.8,-3,0.040263,11.2252433925184
6,0,6,75000,0.8,-2,0.023796,11.2252433925184
6,0,6,75000,0.8,-1,0.017002,11.2252433925184
6,0,6,75000,0.8,0,0.016348,11.2252433925184
6,0,6,75000,0.8,1,0.017006,11.2252433925184
6,0,6,75000,0.8,2,0.023851,11.2252433925184
6,0,6,75000,0.8,3,0.040398,11.2252433925184
6,0,6,75000,0.8,4,0.056841,11.2252433925184
6,0,6,75000,0.8,5,0.072865,11.2252433925184
6,0,6,75000,0.8,6,0.089172,11.2252433925184
6,0,6,75000,0.8,7,0.106159,11.2252433925184
6,0,6,75000,0.8,8,0.124174,11.2252433925184
6,0,6,75000,0.8,9,0.144686,11.2252433925184
6,0,6,75000,0.8,10,0.167778,11.2252433925184
6,0,6,75000,0.8,11,0.192523,11.2252433925184
6,0,6,75000,0.8,12,0.218393,11.2252433925184
6,0,6,75000,0.8,13,0.245303,11.2252433925184
6,0,6,75000,0.8,14,0.273032,11.2252433925184
6,0,6,75000,0.8,15,0.301416,11.2252433925184
6,0,6,75000,0.8,16,0.33042,11.2252433925184
6,0,6,75000,0.8,17,0.35995,11.2252433925184
6,0,6,75000,0.8,18,0.389906,11.2252433925184
6,0,6,75000,0.8,19,0.420286,11.2252433925184
6,0,6,75000,0.8,20,0.45105,11.2252433925184
