This data is part of the PALMO: OVERFLOW Machine Learning Airfoil Performance Database generated at the NASA Ames Research Center. 
Documentation on the database creation can be found in NASA TM-2024-XXXXXXX.

Dr. Jason K. Cornelius, Aeromechanics Office, NASA Ames Research Center, September 2024. 

PALMO_Release_V1
---------------------------------------------------------------------------------
Airfoil, %Camber, %Thickness, Reynolds#, Mach#, Alpha, cm, ln(Reynolds#)
6,0,6,75000,0.75,20,-0.169867,11.2252433925184
6,0,6,75000,0.8,-20,0.199382,11.2252433925184
6,0,6,75000,0.8,-19,0.191186,11.2252433925184
6,0,6,75000,0.8,-18,0.182554,11.2252433925184
6,0,6,75000,0.8,-17,0.173468,11.2252433925184
6,0,6,75000,0.8,-16,0.163859,11.2252433925184
6,0,6,75000,0.8,-15,0.153693,11.2252433925184
6,0,6,75000,0.8,-14,0.142918,11.2252433925184
6,0,6,75000,0.8,-13,0.13152,11.2252433925184
6,0,6,75000,0.8,-12,0.119533,11.2252433925184
6,0,6,75000,0.8,-11,0.107087,11.2252433925184
6,0,6,75000,0.8,-10,0.094081,11.2252433925184
6,0,6,75000,0.8,-9,0.080596,11.2252433925184
6,0,6,75000,0.8,-8,0.067148,11.2252433925184
6,0,6,75000,0.8,-7,0.055907,11.2252433925184
6,0,6,75000,0.8,-6,0.047179,11.2252433925184
6,0,6,75000,0.8,-5,0.040959,11.2252433925184
6,0,6,75000,0.8,-4,0.035409,11.2252433925184
6,0,6,75000,0.8,-3,0.025152,11.2252433925184
6,0,6,75000,0.8,-2,0.001572,11.2252433925184
6,0,6,75000,0.8,-1,-0.002139,11.2252433925184
6,0,6,75000,0.8,0,-0.000112,11.2252433925184
6,0,6,75000,0.8,1,0.001926,11.2252433925184
6,0,6,75000,0.8,2,-0.001913,11.2252433925184
6,0,6,75000,0.8,3,-0.025727,11.2252433925184
6,0,6,75000,0.8,4,-0.035918,11.2252433925184
6,0,6,75000,0.8,5,-0.041225,11.2252433925184
6,0,6,75000,0.8,6,-0.047211,11.2252433925184
6,0,6,75000,0.8,7,-0.05558,11.2252433925184
6,0,6,75000,0.8,8,-0.066658,11.2252433925184
6,0,6,75000,0.8,9,-0.079989,11.2252433925184
6,0,6,75000,0.8,10,-0.093396,11.2252433925184
6,0,6,75000,0.8,11,-0.106364,11.2252433925184
6,0,6,75000,0.8,12,-0.118759,11.2252433925184
6,0,6,75000,0.8,13,-0.130687,11.2252433925184
6,0,6,75000,0.8,14,-0.142014,11.2252433925184
6,0,6,75000,0.8,15,-0.152689,11.2252433925184
6,0,6,75000,0.8,16,-0.162779,11.2252433925184
6,0,6,75000,0.8,17,-0.17231,11.2252433925184
6,0,6,75000,0.8,18,-0.181303,11.2252433925184
6,0,6,75000,0.8,19,-0.189851,11.2252433925184
6,0,6,75000,0.8,20,-0.198005,11.2252433925184
6,0,6,75000,0.85,-20,0.261269,11.2252433925184
6,0,6,75000,0.85,-19,0.263452,11.2252433925184
6,0,6,75000,0.85,-18,0.386848,11.2252433925184
6,0,6,75000,0.85,-17,0.374479,11.2252433925184
6,0,6,75000,0.85,-16,0.361859,11.2252433925184
6,0,6,75000,0.85,-15,0.348963,11.2252433925184
6,0,6,75000,0.85,-14,0.335771,11.2252433925184
6,0,6,75000,0.85,-13,0.321904,11.2252433925184
6,0,6,75000,0.85,-12,0.296943,11.2252433925184
6,0,6,75000,0.85,-11,0.233467,11.2252433925184
6,0,6,75000,0.85,-10,0.194735,11.2252433925184
6,0,6,75000,0.85,-9,0.164356,11.2252433925184
6,0,6,75000,0.85,-8,0.13742,11.2252433925184
6,0,6,75000,0.85,-7,0.113165,11.2252433925184
6,0,6,75000,0.85,-6,0.092773,11.2252433925184
6,0,6,75000,0.85,-5,0.077878,11.2252433925184
6,0,6,75000,0.85,-4,0.06787,11.2252433925184
6,0,6,75000,0.85,-3,0.061427,11.2252433925184
6,0,6,75000,0.85,-2,0.054386,11.2252433925184
6,0,6,75000,0.85,-1,0.025986,11.2252433925184
6,0,6,75000,0.85,0,-0.000126,11.2252433925184
6,0,6,75000,0.85,1,-0.026643,11.2252433925184
6,0,6,75000,0.85,2,-0.054896,11.2252433925184
6,0,6,75000,0.85,3,-0.061806,11.2252433925184
6,0,6,75000,0.85,4,-0.068109,11.2252433925184
6,0,6,75000,0.85,5,-0.077864,11.2252433925184
6,0,6,75000,0.85,6,-0.092296,11.2252433925184
6,0,6,75000,0.85,7,-0.111858,11.2252433925184
6,0,6,75000,0.85,8,-0.135028,11.2252433925184
6,0,6,75000,0.85,9,-0.160235,11.2252433925184
6,0,6,75000,0.85,10,-0.187496,11.2252433925184
6,0,6,75000,0.85,11,-0.219699,11.2252433925184
6,0,6,75000,0.85,12,-0.287337,11.2252433925184
6,0,6,75000,0.85,13,-0.321427,11.2252433925184
6,0,6,75000,0.85,14,-0.33546,11.2252433925184
6,0,6,75000,0.85,15,-0.348637,11.2252433925184
6,0,6,75000,0.85,16,-0.361504,11.2252433925184
6,0,6,75000,0.85,17,-0.374101,11.2252433925184
6,0,6,75000,0.85,18,-0.386405,11.2252433925184
