Airfoil,Mach,Re,N_points,Cl_MAE,Cl_MSE,Cl_RMSE,Cd_MAE,Cd_MSE,Cd_RMSE,Cm_MAE,Cm_MSE,Cm_RMSE
4415,0.25,250000,41,0.028781,0.001341,0.03662,0.006029,8e-05,0.008935,0.003,2.3e-05,0.004749
4415,0.25,500000,41,0.029481,0.001307,0.036149,0.005859,6.6e-05,0.008139,0.0033,3.2e-05,0.005656
4415,0.25,1000000,41,0.023046,0.000846,0.029092,0.006139,7e-05,0.008374,0.00378,4.1e-05,0.006389
4415,0.25,2000000,41,0.02465,0.000942,0.030684,0.006486,7.1e-05,0.008413,0.003207,3.1e-05,0.005601
4415,0.25,4000000,41,0.023077,0.000862,0.02936,0.0063,6.8e-05,0.008267,0.003092,2.7e-05,0.005212
4415,0.25,8000000,41,0.024476,0.000882,0.029694,0.006652,6.7e-05,0.008209,0.003051,2.1e-05,0.004547
4415,0.35,75000,41,0.02545,0.000881,0.029686,0.005842,0.000101,0.010054,0.003312,3.5e-05,0.005907
4415,0.35,125000,41,0.019449,0.000526,0.022926,0.006592,0.000169,0.012991,0.002887,2.4e-05,0.004949
4415,0.35,250000,41,0.027127,0.001177,0.034309,0.005629,0.000119,0.010898,0.002711,2.6e-05,0.005131
4415,0.35,500000,41,0.028728,0.001307,0.036159,0.00504,7.3e-05,0.008526,0.002661,2.2e-05,0.004655
4415,0.35,1000000,41,0.022921,0.000907,0.030118,0.004843,6.6e-05,0.008146,0.002786,2.5e-05,0.005018
4415,0.35,2000000,41,0.026325,0.001164,0.034113,0.00503,6.5e-05,0.008069,0.002791,2.3e-05,0.00481
4415,0.35,4000000,41,0.021956,0.000738,0.027164,0.004545,6.4e-05,0.007995,0.002651,2.1e-05,0.004571
4415,0.35,8000000,41,0.020071,0.000627,0.02504,0.004908,5.8e-05,0.007607,0.002544,1.6e-05,0.004037
4415,0.45,75000,41,0.020643,0.000607,0.024641,0.0042,3.6e-05,0.006033,0.003763,2.5e-05,0.004971
4415,0.45,125000,41,0.019804,0.000741,0.027228,0.005889,9.2e-05,0.009616,0.002914,1.5e-05,0.003874
4415,0.45,250000,41,0.020743,0.000693,0.026327,0.005062,7.7e-05,0.008769,0.003601,2e-05,0.004455
4415,0.45,500000,41,0.015318,0.000353,0.018782,0.002935,2.5e-05,0.004963,0.003016,1.2e-05,0.003438
4415,0.45,1000000,41,0.014075,0.000307,0.017527,0.002866,1.9e-05,0.004321,0.003244,1.6e-05,0.003954
4415,0.45,2000000,41,0.01811,0.000506,0.0225,0.003199,2e-05,0.004479,0.003869,2.2e-05,0.00465
4415,0.45,4000000,41,0.014496,0.000349,0.018691,0.00359,2.8e-05,0.005254,0.003856,2.2e-05,0.004686
4415,0.45,8000000,41,0.011838,0.000237,0.015387,0.004628,4.5e-05,0.006731,0.00346,1.8e-05,0.0043
4415,0.55,75000,41,0.014946,0.000558,0.023622,0.003405,2.1e-05,0.004538,0.004652,3.3e-05,0.005705
4415,0.55,125000,41,0.018824,0.000614,0.024781,0.002615,1.3e-05,0.00354,0.002831,1.7e-05,0.004084
4415,0.55,250000,41,0.021181,0.000734,0.027085,0.003377,1.8e-05,0.004218,0.003465,2.5e-05,0.00495
4415,0.55,500000,41,0.018904,0.000698,0.026411,0.002935,1.3e-05,0.003583,0.003124,1.8e-05,0.004238
4415,0.55,1000000,41,0.016961,0.000499,0.022337,0.002465,9e-06,0.003073,0.003298,1.7e-05,0.004112
4415,0.55,2000000,41,0.01893,0.0006,0.024496,0.003052,1.3e-05,0.003628,0.003973,2.3e-05,0.004778
4415,0.55,4000000,41,0.016459,0.000479,0.021886,0.002657,1e-05,0.003218,0.003674,2e-05,0.004488
4415,0.55,8000000,41,0.017366,0.000619,0.024882,0.003014,1.3e-05,0.003605,0.002835,1.2e-05,0.003508
4415,0.65,75000,41,0.014877,0.000371,0.01927,0.003748,2.3e-05,0.004782,0.00397,2e-05,0.004455
4415,0.65,125000,41,0.018813,0.000564,0.023749,0.003754,2.2e-05,0.004663,0.003136,1.4e-05,0.00372
4415,0.65,250000,41,0.015373,0.000457,0.021379,0.004374,2.8e-05,0.00531,0.003266,1.5e-05,0.003865
